ARMARIO	BKT	ALIADA
GOGNA_O1B45	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B50	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B54	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B56	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B69	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C67	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M09	BKT_GOIANIA_ONDACOM_CONDOMINIO	ONDACOM
GOGNA_G1M25	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M33	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A04	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A31	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A52	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A56	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A58	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A68	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A90	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A98	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B01	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B19	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B20	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B49	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B67	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B77	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B88	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1C01	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C32	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1C40	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C42	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C62	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1I03	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1C14	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B70	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A0S	BKT_GOIANIA_ABILITY	ABILITY
GOACG_O1B87	BKT_APARECIDA_GOIANIA	ONDACOM
GOGNA_O1B59	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1A40	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C06	BKT_GOIANIA_ABILITY	ABILITY
GOACG_G1N10	BKT_APARECIDA_GOIANIA	ONDACOM
GOGNA_O1B99	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1V07	BKT_GOIANIA_ONDACOM	ONDACOM
GOACG_G1M01	BKT_GOIANIA_ONDACOM_CONDOMINIO	ONDACOM
GOGNA_O1B58	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C14	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A0T	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B84	BKT_GOIANIA_ABILITY	ABILITY
